frame_number,timestamp,left_foot_strike,right_foot_strike,forward_lean,head_forward
174,5.8,midfoot,heel,3.6657403560142905,45.0
175,5.833333333333333,midfoot,heel,3.6657403560142905,45.0
176,5.866666666666666,midfoot,heel,6.779350944585475,45.0
177,5.9,midfoot,heel,6.779350944585475,45.0
178,5.933333333333334,midfoot,heel,6.779350944585475,45.0
179,5.966666666666667,midfoot,heel,7.614054137358785,45.0
180,6.0,heel,midfoot,7.9159881975386295,45.0
181,6.033333333333333,heel,midfoot,9.05014455680543,45.0
182,6.066666666666666,heel,midfoot,11.649274879811923,45.0
183,6.1,heel,midfoot,11.649274879811923,45.0
184,6.133333333333334,heel,midfoot,12.9157095643849,45.0
185,6.166666666666667,heel,heel,12.9157095643849,45.0
186,6.2,heel,heel,12.9157095643849,45.0
187,6.233333333333333,heel,heel,8.591831709442015,45.0
188,6.266666666666667,midfoot,heel,3.7806786927523977,45.0
189,6.3,midfoot,heel,1.5133786299640497,45.0
190,6.333333333333333,midfoot,heel,0.8725160182090761,45.0
191,6.366666666666666,midfoot,heel,0.661376905065361,45.0
192,6.4,midfoot,heel,0.661376905065361,45.0
193,6.433333333333334,midfoot,heel,0.25250763054424097,45.0
194,6.466666666666667,midfoot,heel,0.25250763054424097,45.0
195,6.5,midfoot,heel,0.25250763054424097,45.0
196,6.533333333333333,midfoot,heel,1.0151327304990714,45.0
197,6.566666666666666,midfoot,heel,3.882621514322647,45.0
198,6.6,midfoot,heel,5.815964278025697,45.0
199,6.633333333333334,heel,heel,7.200592605332211,45.0
200,6.666666666666667,heel,heel,7.367097216446101,45.0
201,6.7,heel,heel,7.367097216446101,45.0
202,6.733333333333333,heel,heel,7.367097216446101,45.0
203,6.766666666666667,heel,heel,6.796959571576848,45.0
204,6.8,heel,heel,3.1855856176133965,45.0
205,6.833333333333333,heel,heel,3.1855856176133965,45.0
206,6.866666666666666,midfoot,heel,3.1855856176133965,45.0
207,6.9,midfoot,heel,3.3662091351772316,45.0
208,6.933333333333334,midfoot,heel,3.3662091351772316,45.0
209,6.966666666666667,heel,heel,3.3662091351772316,45.0
210,7.0,heel,heel,2.7984347316930833,45.0
211,7.033333333333333,heel,heel,1.6187690009512785,45.0
212,7.066666666666666,heel,heel,1.6187690009512785,45.0
213,7.1,heel,heel,1.6187690009512785,45.0
214,7.133333333333334,heel,heel,4.352374283517398,45.0
215,7.166666666666667,heel,heel,6.959382595081099,45.0
216,7.2,heel,heel,7.15827838197753,45.0
217,7.233333333333333,heel,heel,7.308007562668632,45.0
218,7.266666666666667,heel,heel,7.308007562668632,45.0
219,7.3,heel,heel,7.308007562668632,45.0
220,7.333333333333333,heel,heel,5.088654989772877,45.0
221,7.366666666666666,heel,heel,2.058626580816403,45.0
222,7.4,heel,heel,2.058626580816403,45.0
223,7.433333333333334,heel,heel,2.058626580816403,45.0
224,7.466666666666667,heel,heel,4.282873080326519,45.0
225,7.5,forefoot,heel,4.282873080326519,45.0
226,7.533333333333333,forefoot,heel,4.282873080326519,45.0
227,7.566666666666666,forefoot,heel,2.7507602914835663,45.0
228,7.6,heel,heel,2.7507602914835663,45.0
229,7.633333333333334,heel,heel,1.4362842167627101,45.0
230,7.666666666666667,heel,heel,1.4362842167627101,45.0
231,7.7,heel,heel,1.0306525788212406,45.0
232,7.733333333333333,heel,forefoot,1.0306525788212406,45.0
233,7.766666666666667,heel,forefoot,1.0306525788212406,45.0
234,7.8,heel,forefoot,4.4982078554301985,45.0
235,7.833333333333333,heel,heel,4.807792251929815,45.0
236,7.866666666666666,heel,heel,6.356458837438045,45.0
237,7.9,heel,heel,4.807792251929815,45.0
